# T, Yield, 15 min, 30 min, 60 min, 120 min, 240 min
1.573000000000000000e+03,8.367416852833975405e-01,8.369666462446667676e-01,8.371900828002825090e-01,8.376324698349711939e-01,8.384998812097164134e-01,8.401695563101269082e-01
1.585820512820512931e+03,8.369768715003503834e-01,8.372928189625372664e-01,8.376057498956928082e-01,8.382228037248916630e-01,8.394232562209615889e-01,8.417008883986460965e-01
1.598641025641025635e+03,8.372126441550424847e-01,8.376541774654557848e-01,8.380898124803148885e-01,8.389440450945544470e-01,8.405885143419621341e-01,8.436503408414826044e-01
1.611461538461538566e+03,8.374490055187350235e-01,8.380628441188918698e-01,8.386652949640828192e-01,8.398377899956185333e-01,8.420637233734982185e-01,8.461098732420599955e-01
1.624282051282051270e+03,8.376859578747541946e-01,8.385346886350376616e-01,8.393617311736841780e-01,8.409553539503370478e-01,8.439265522887531290e-01,8.491691530262018839e-01
1.637102564102564202e+03,8.379235035185729208e-01,8.390902262098314246e-01,8.402162595496779351e-01,8.423580431250757838e-01,8.462603628456433214e-01,8.529039127561998113e-01
1.649923076923076906e+03,8.381616447578936757e-01,8.397555776914087389e-01,8.412744642700857867e-01,8.441165072816375625e-01,8.491479698877739679e-01,8.573610601953287613e-01
1.662743589743589837e+03,8.384003839127316393e-01,8.405633888755084104e-01,8.425907291229550733e-01,8.463093190164524549e-01,8.526634721941632744e-01,8.625382042600918675e-01
1.675564102564102541e+03,8.386397233154989639e-01,8.415535312676849511e-01,8.442277734823387947e-01,8.490186024675635545e-01,8.568545339779545245e-01,8.683740951852195744e-01
1.688384615384615472e+03,8.388796653110890400e-01,8.427733170361452197e-01,8.462560205531375335e-01,8.523350023568748712e-01,8.617325280401866294e-01,8.746979054928887276e-01
1.701205128205128176e+03,8.391202122569622057e-01,8.442768789974050003e-01,8.487558208235274071e-01,8.563828626432259394e-01,8.672196232673846650e-01,8.811117965369366090e-01
1.714025641025641107e+03,8.393613665232321219e-01,8.461233368880380912e-01,8.518180643251637152e-01,8.612879504770527550e-01,8.729124052725844018e-01,8.873358699600080168e-01
1.726846153846153811e+03,8.396031304927521477e-01,8.483734528535642472e-01,8.554371129768367776e-01,8.664229083414994870e-01,8.782330512375520204e-01,8.952563062589129483e-01
1.739666666666666742e+03,8.398455065612030479e-01,8.510847056279735590e-01,8.596541749872064209e-01,8.718718299540750838e-01,8.851663428911178411e-01,9.029225944644475588e-01
1.752487179487179446e+03,8.400884971371815890e-01,8.543050134744776258e-01,8.644408172403997836e-01,8.775065599585403220e-01,8.928780046232884793e-01,9.104047937979742322e-01
1.765307692307692378e+03,8.403321046422892460e-01,8.580657734919056034e-01,8.697249884839649559e-01,8.834797879287127342e-01,9.003285262160510838e-01,9.176544639621453392e-01
1.778128205128205082e+03,8.405763315112222411e-01,8.623774861843911399e-01,8.754127826203179641e-01,8.903312347050078568e-01,9.073923069641823824e-01,9.247284273747830019e-01
1.790948717948718013e+03,8.408211801918619166e-01,8.672139417158074570e-01,8.814136789300569541e-01,8.974660955659865547e-01,9.142963182647391163e-01,9.316234451896076019e-01
1.803769230769230717e+03,8.410666531453664385e-01,8.725018071065132608e-01,8.876415869415786863e-01,9.043198313859990289e-01,9.210576542622923579e-01,9.386453676340640317e-01
1.816589743589743648e+03,8.413127528462622795e-01,8.781053050862793752e-01,8.939972576452414055e-01,9.107932713309527806e-01,9.276783091695188777e-01,9.455963895634768024e-01
1.829410256410256352e+03,8.415594817825380325e-01,8.837605385996215590e-01,9.003489314326171833e-01,9.169239330418956779e-01,9.342065722102534941e-01,9.524186410856574359e-01
1.842230769230769283e+03,8.418068424557368923e-01,8.890303289430445677e-01,9.063931241794405125e-01,9.229917033725257847e-01,9.406857672561137473e-01,9.589751464572607853e-01
1.855051282051281987e+03,8.420548373810523568e-01,8.953232852821330079e-01,9.127035902944086176e-01,9.294525308342271863e-01,9.473689563224080290e-01,9.651830221260232490e-01
1.867871794871794918e+03,8.423034690874225960e-01,9.018461309437530993e-01,9.188000667616988970e-01,9.359179274084403755e-01,9.539324695593985881e-01,9.712494423703711410e-01
1.880692307692307622e+03,8.425527401176269304e-01,9.082755631985611755e-01,9.248173334075098229e-01,9.422890974462232450e-01,9.601143233897775353e-01,9.768186732388958182e-01
1.893512820512820554e+03,8.428026530283826423e-01,9.145174962910913585e-01,9.311021910431461768e-01,9.486492141879298012e-01,9.659405903399117532e-01,9.817660207180152199e-01
1.906333333333333485e+03,8.430532103904431196e-01,9.204709319902548703e-01,9.373063403207120281e-01,9.548960647686333125e-01,9.716392499208349465e-01,9.860560433737197705e-01
1.919153846153846189e+03,8.433044147886956665e-01,9.262347698095219073e-01,9.433717030284562988e-01,9.608370559212321416e-01,9.768895036970148826e-01,9.898920450207160382e-01
1.931974358974358893e+03,8.435562688222615346e-01,9.320754879385427794e-01,9.492923866457324555e-01,9.663514153740865309e-01,9.814920652358495312e-01,9.930911528417502021e-01
1.944794871794871824e+03,8.438087751045960649e-01,9.379675204578175052e-01,9.551325756473084683e-01,9.714901845912795597e-01,9.854307304388699729e-01,9.956423850527562625e-01
1.957615384615384755e+03,8.440619362635898293e-01,9.437799744734260976e-01,9.608135534465440664e-01,9.764261850885881389e-01,9.889885944483942648e-01,9.975359821135418859e-01
1.970435897435897459e+03,8.443157549416703267e-01,9.494425537642613433e-01,9.661934938988905319e-01,9.808611232693319470e-01,9.926435143466310063e-01,9.970817923494849078e-01
1.983256410256410163e+03,8.445702337959054562e-01,9.548760876217595728e-01,9.711484801632954689e-01,9.848046670617626175e-01,9.953323037204269141e-01,9.990151300210186047e-01
1.996076923076923094e+03,8.448253754981071006e-01,9.600592268702734522e-01,9.756134301374745910e-01,9.881094260340583801e-01,9.960553606367346102e-01,9.992365244776778566e-01
2.008897435897436026e+03,8.450811827349355987e-01,9.652451297651277740e-01,9.798298530641830206e-01,9.910023513953419849e-01,9.962322135756120911e-01,9.998486578021865689e-01
2.021717948717948730e+03,8.453376582080053270e-01,9.702016840276550536e-01,9.837586571047678419e-01,9.939371032673515183e-01,9.984205521387231608e-01,1.000332517705373236e+00
2.034538461538461434e+03,8.455948046339917257e-01,9.746806750130960761e-01,9.871117661757047301e-01,9.957763404993296152e-01,9.988627190122582045e-01,1.000615002020173838e+00
2.047358974358974365e+03,8.458526247447382129e-01,9.786318109805580701e-01,9.897899517012492820e-01,9.958497590223228668e-01,9.995645124931545888e-01,1.000713271297110074e+00
2.060179487179487296e+03,8.461111212873646537e-01,9.823403091106650553e-01,9.922321851097531953e-01,9.971041505125608495e-01,1.000265356044456988e+00,1.000874811050706636e+00
2.073000000000000000e+03,8.463702970243772716e-01,9.857870938627431023e-01,9.946980253879210698e-01,9.986754272268068000e-01,1.000412289845672209e+00,1.001095492453259350e+00
