# T, Yield, 15 min, 30 min, 60 min, 120 min, 240 min
1.673000000000000000e+03,7.523988766613433077e-01,7.530253095159440413e-01,7.536337650628731621e-01,7.548009454428540321e-01,7.569622413215861823e-01,7.607995139451473321e-01
1.675500000000000000e+03,7.524278944932215607e-01,7.530923537613324337e-01,7.537366188569930570e-01,7.549695445977491204e-01,7.572436162528036752e-01,7.612658401314211787e-01
1.678000000000000000e+03,7.524569275526225010e-01,7.531615733359170450e-01,7.538435471812163780e-01,7.551453714230930148e-01,7.575368025605602185e-01,7.617510020197951759e-01
1.680500000000000000e+03,7.524859758517088437e-01,7.532330795873676266e-01,7.539547438489859754e-01,7.553287210456699485e-01,7.578421870991942644e-01,7.622555679775951942e-01
1.683000000000000000e+03,7.525150394026561829e-01,7.533069886864709463e-01,7.540704093953070064e-01,7.555198939063051400e-01,7.581601584677802874e-01,7.627800954824371926e-01
1.685500000000000000e+03,7.525441182176531019e-01,7.533834217569745917e-01,7.541907510796449499e-01,7.557191952364994414e-01,7.584911060268608729e-01,7.633251237159306424e-01
1.688000000000000000e+03,7.525732123089015069e-01,7.534625050013759040e-01,7.543159828639018905e-01,7.559269344762945542e-01,7.588354187372453596e-01,7.638911654916642480e-01
1.690500000000000000e+03,7.526023216886165157e-01,7.535443698217451081e-01,7.544463253633996169e-01,7.561434246328182507e-01,7.591934838107007311e-01,7.644786988293922336e-01
1.693000000000000000e+03,7.526314463690263468e-01,7.536291529346244022e-01,7.545820057688317206e-01,7.563689815794752969e-01,7.595656851727686787e-01,7.650881585325023382e-01
1.695500000000000000e+03,7.526605863623725412e-01,7.537169964789838250e-01,7.547232577371942863e-01,7.566039232962759042e-01,7.599524017491109396e-01,7.657199281364780452e-01
1.698000000000000000e+03,7.526897416809097408e-01,7.538080481161774093e-01,7.548703212498134585e-01,7.568485690523520937e-01,7.603529313758098374e-01,7.663443115554169349e-01
1.700500000000000000e+03,7.527189123369059098e-01,7.539024611207948423e-01,7.550234424357127327e-01,7.571032385322382652e-01,7.607683004771396140e-01,7.669854624049695646e-01
1.703000000000000000e+03,7.527480983426422245e-01,7.540003944612877484e-01,7.551828733587582221e-01,7.573682509080038594e-01,7.611987886220428212e-01,7.676432104064623285e-01
1.705500000000000000e+03,7.527772997104132946e-01,7.541020128692282887e-01,7.553488717672518504e-01,7.576439238597447723e-01,7.616446494646065268e-01,7.683171460810324094e-01
1.708000000000000000e+03,7.528065164525268305e-01,7.542074868960622069e-01,7.555217008049385230e-01,7.579305725472631483e-01,7.621061141356499924e-01,7.690067941162087584e-01
1.710500000000000000e+03,7.528357485813039762e-01,7.543169929562547615e-01,7.557016286827589191e-01,7.582285085359198318e-01,7.625833890171435092e-01,7.697116187831140044e-01
1.713000000000000000e+03,7.528649961090790876e-01,7.544307133557652811e-01,7.558889283110965529e-01,7.585380386795742558e-01,7.630766535606584577e-01,7.704310324736587390e-01
1.715500000000000000e+03,7.528942590482001762e-01,7.545488363048845626e-01,7.560838768927744535e-01,7.588594639631879302e-01,7.635860582097214744e-01,7.711644079018854514e-01
1.718000000000000000e+03,7.529235374110282430e-01,7.546715559145869001e-01,7.562867554776255830e-01,7.591930783069635869e-01,7.641117225001820001e-01,7.719110944467059143e-01
1.720500000000000000e+03,7.529528312099380560e-01,7.547990721757193988e-01,7.564978484801051506e-01,7.595391673327663851e-01,7.646537334258032281e-01,7.726704389640188797e-01
1.723000000000000000e+03,7.529821404573174837e-01,7.549315909205747133e-01,7.567174431621278563e-01,7.598980070919458818e-01,7.652121441664120338e-01,7.734418111531192741e-01
1.725500000000000000e+03,7.530114651655679392e-01,7.550693237666800117e-01,7.569458290840976877e-01,7.602698627514793417e-01,7.657869732801961815e-01,7.742246332113416063e-01
1.728000000000000000e+03,7.530408053471042695e-01,7.552124880429835763e-01,7.571832975279100264e-01,7.606549872325255590e-01,7.663782044577641672e-01,7.750184130627320034e-01
1.730500000000000000e+03,7.530701610143550884e-01,7.553613066990596536e-01,7.574301408965812277e-01,7.610536197920062529e-01,7.669857869208537293e-01,7.758227799211984133e-01
1.733000000000000000e+03,7.530995321797618880e-01,7.555160081984670928e-01,7.576866520960094942e-01,7.614659845336992916e-01,7.676096365218713080e-01,7.766375203926726423e-01
1.735500000000000000e+03,7.531289188557801495e-01,7.556768263980054856e-01,7.579531239051943148e-01,7.618922888306302044e-01,7.682496375620749829e-01,7.774626127977979362e-01
1.738000000000000000e+03,7.531583210548787877e-01,7.558440004153165193e-01,7.582298483419810387e-01,7.623327216354316427e-01,7.689056452980229661e-01,7.782982569786328630e-01
1.740500000000000000e+03,7.531877387895400400e-01,7.560177744880726136e-01,7.585171160319671424e-01,7.627874516500681157e-01,7.695774890523244816e-01,7.791448966175783530e-01
1.743000000000000000e+03,7.532171720722600217e-01,7.561983978288716601e-01,7.588152155885540262e-01,7.632566253213289853e-01,7.702649757911601558e-01,7.800032311019644560e-01
1.745500000000000000e+03,7.532466209155480596e-01,7.563861244809018114e-01,7.591244330121220685e-01,7.637403646243593469e-01,7.709678939839185174e-01,7.808742142467043346e-01
1.748000000000000000e+03,7.532760853319274696e-01,7.565812131804245944e-01,7.594450511158541417e-01,7.642387645940736940e-01,7.716860175257240773e-01,7.817590377364881382e-01
1.750500000000000000e+03,7.533055653339350011e-01,7.567839272330888489e-01,7.597773489846674222e-01,7.647518905646469856e-01,7.724191094861471152e-01,7.826590979261950354e-01
1.753000000000000000e+03,7.533350609341209481e-01,7.569945344120019293e-01,7.601216014719166525e-01,7.652797750818024491e-01,7.731669254495137089e-01,7.835759455715470834e-01
1.755500000000000000e+03,7.533645721450492605e-01,7.572133068862159089e-01,7.604780787358079719e-01,7.658224144629608432e-01,7.739292162338660130e-01,7.845112190614635939e-01
1.758000000000000000e+03,7.533940989792977660e-01,7.574405211887657030e-01,7.608470458136761261e-01,7.663797649984651628e-01,7.747057298146627913e-01,7.854665626972840986e-01
1.760500000000000000e+03,7.534236414494578371e-01,7.576764582334429843e-01,7.612287622272672083e-01,7.669517388152088389e-01,7.754962123319063538e-01,7.864435324309110298e-01
1.763000000000000000e+03,7.534531995681346128e-01,7.579214033889686286e-01,7.616234816058388146e-01,7.675381994643775130e-01,7.763004081212308005e-01,7.874434921730508741e-01
1.765500000000000000e+03,7.534827733479468881e-01,7.581756466179085940e-01,7.620314513061866579e-01,7.681389573498645928e-01,7.771180587763409919e-01,7.884675042738202855e-01
1.768000000000000000e+03,7.535123628015272246e-01,7.584394826853781968e-01,7.624529119997062176e-01,7.687537651851060749e-01,7.779489013183700230e-01,7.895162180379265982e-01
