# T, Yield, 15 min, 30 min, 60 min, 120 min, 240 min
9.481282051282050816e+02,7.764843121490743183e-01,7.780221436489233033e-01,7.794271771549730055e-01,7.819420331120146006e-01,7.860513303250874495e-01,7.920925448068579788e-01
9.911794871794871824e+02,7.802808326061299038e-01,7.857119207601113153e-01,7.898673360476490268e-01,7.962004678816800851e-01,8.029981270380202041e-01,8.133396762187411477e-01
1.034230769230769283e+03,7.843000398402428797e-01,7.987426578284362311e-01,8.065281561322624748e-01,8.160013228903921778e-01,8.274166474304375241e-01,8.408633451185668628e-01
1.077282051282051270e+03,7.885625828362176071e-01,8.164148570915948921e-01,8.276309028100260479e-01,8.398712680610388448e-01,8.540824427177666767e-01,8.703504770159246062e-01
1.120333333333333258e+03,7.930917995888682182e-01,8.395624640396694982e-01,8.522663695245782378e-01,8.666783795912529342e-01,8.828698946803958947e-01,9.015822037412692946e-01
1.163384615384615472e+03,7.979141778869218715e-01,8.636628475131749028e-01,8.780458717761588927e-01,8.939246466452522855e-01,9.121100875445165013e-01,9.348980492398668574e-01
1.206435897435897459e+03,8.030599157997775350e-01,8.881895183897097201e-01,9.036951213351032131e-01,9.212611579017220276e-01,9.424762705535577600e-01,9.686530271437389095e-01
1.249487179487179446e+03,8.085636083479262881e-01,9.125271834119202952e-01,9.294427259174753431e-01,9.489235247368347226e-01,9.715981265573693237e-01,9.961699356165751862e-01
1.292538461538461434e+03,8.144650952965201141e-01,9.367580049150618926e-01,9.544833392003997385e-01,9.739966244326605516e-01,9.926954413495910901e-01,1.001282530097453938e+00
1.335589743589743648e+03,8.208105166708575817e-01,9.593912351033813124e-01,9.761933500718921186e-01,9.925853000350658428e-01,1.000901694146329790e+00,1.000888535253255940e+00
1.378641025641025635e+03,8.276536388706290381e-01,9.782684033461074291e-01,9.921452266833705735e-01,1.000513026801333361e+00,1.000778592704030023e+00,1.000946472264507614e+00
1.421692307692307622e+03,8.350575373043725991e-01,9.917654483191654657e-01,9.996322768532793779e-01,1.000600963573532898e+00,1.000796435212067292e+00,1.001178990191989637e+00
1.464743589743589837e+03,8.430967545867347201e-01,9.984314524066250085e-01,1.000362648965529067e+00,1.000601232827062370e+00,1.001065969358279739e+00,1.001949520524941351e+00
1.507794871794871824e+03,8.518601017386410179e-01,1.000682146019674201e+00,1.000962134059584674e+00,1.001518828771130298e+00,1.002567001523312573e+00,1.004444531987721767e+00
1.550846153846153811e+03,8.614543418455995472e-01,1.003889794199877894e+00,1.004450713757377267e+00,1.005506490785261997e+00,1.007395833404107321e+00,1.010522555209958817e+00
1.593897435897435798e+03,8.720091049541619510e-01,1.001694743690916711e+00,1.003305777920801001e+00,1.006037342351484565e+00,1.010245539253646907e+00,1.015998448256892450e+00
1.636948717948718013e+03,8.836835526754852621e-01,1.003573109204680458e+00,1.006939331686096395e+00,1.011720542203124795e+00,1.018187004876176527e+00,1.025512673404102904e+00
1.680000000000000000e+03,8.966755809497340968e-01,1.008416715732188607e+00,1.013903630952526225e+00,1.020695842582147961e+00,1.028486673277539065e+00,1.036977456118420626e+00
