# T, Yield, 15 min, 30 min, 60 min, 120 min, 240 min
1.134000000000000000e+03,6.400798525580291276e-01,6.400805738141304158e-01,6.400812823898949233e-01,6.400826636328547092e-01,6.400852954435662934e-01,6.400901203378241977e-01
1.145000000000000000e+03,6.400839615201117105e-01,6.400849560555742501e-01,6.400859278571663369e-01,6.400878081657219720e-01,6.400913441996265441e-01,6.400976945981604604e-01
1.156000000000000000e+03,6.400880806688229452e-01,6.400894441349114228e-01,6.400907673238054318e-01,6.400933039282137305e-01,6.400979991765836097e-01,6.401062360977712862e-01
1.167000000000000000e+03,6.400920844334033744e-01,6.400939449770141065e-01,6.400957348306822725e-01,6.400991269599336508e-01,6.401052876010556725e-01,6.401158164142853879e-01
1.178000000000000000e+03,6.400962239140731702e-01,6.400987435525841152e-01,6.401011414361924556e-01,6.401056244461073019e-01,6.401135897173891864e-01,6.401268314794029690e-01
1.188000000000000000e+03,6.401003622861134446e-01,6.401036518570155653e-01,6.401067465755434505e-01,6.401124523650405518e-01,6.401223694416952048e-01,6.401384461951385996e-01
1.199000000000000000e+03,6.401043958574360593e-01,6.401088005977991768e-01,6.401128794663902832e-01,6.401202653770310391e-01,6.401327399819060071e-01,6.401523849073361694e-01
1.210000000000000000e+03,6.401085657091126757e-01,6.401144159672672584e-01,6.401197225548458380e-01,6.401291113582685544e-01,6.401446647025957892e-01,6.401682913001098818e-01
1.221000000000000000e+03,6.401127459746515092e-01,6.401204583562379868e-01,6.401272923022200967e-01,6.401390992552299375e-01,6.401581692370019727e-01,6.401861796945499394e-01
1.232000000000000000e+03,6.401168101613439188e-01,6.401269082475499195e-01,6.401356114271427034e-01,6.401502613581601109e-01,6.401733730678919043e-01,6.402060863425237391e-01
1.243000000000000000e+03,6.401210112144209985e-01,6.401341138609055736e-01,6.401450525695022709e-01,6.401629681975560260e-01,6.401906848331583300e-01,6.402283151426118035e-01
1.253000000000000000e+03,6.401252084595695502e-01,6.401416540000021138e-01,6.401549513457468477e-01,6.401761928392163403e-01,6.402086322852624800e-01,6.402508393600858660e-01
1.264000000000000000e+03,6.401293031215640195e-01,6.401503204224594512e-01,6.401666301229520517e-01,6.401919618870002271e-01,6.402302735489959762e-01,6.402774344793048522e-01
1.275000000000000000e+03,6.401335352242454313e-01,6.401601438931789900e-01,6.401798614039165836e-01,6.402097032245688268e-01,6.402546451505473080e-01,6.403066066415370461e-01
1.286000000000000000e+03,6.401377779748264052e-01,6.401711774437305325e-01,6.401946624205742120e-01,6.402294428960694228e-01,6.402818561441323553e-01,6.403383591252841400e-01
1.297000000000000000e+03,6.401419039450234605e-01,6.401834952181952865e-01,6.402110180357390989e-01,6.402511748595817176e-01,6.403114355603413133e-01,6.403721765233459928e-01
1.308000000000000000e+03,6.401461679524066417e-01,6.401974921970077226e-01,6.402291652844115388e-01,6.402750990733868663e-01,6.403418476704576534e-01,6.404105595808404772e-01
