# T, Yield, 15 min, 30 min, 60 min, 120 min, 240 min
8.730000000000000000e+02,7.703387109729278315e-01,7.705894484651667486e-01,7.708385487443115691e-01,7.713319886353311450e-01,7.723008029024915899e-01,7.741731080919602714e-01
8.883846153846153584e+02,7.715507556673573131e-01,7.719478808237137946e-01,7.723403794171718184e-01,7.731122001253534215e-01,7.746074172503806254e-01,7.774327370223796940e-01
9.037692307692307168e+02,7.727860439642304513e-01,7.734128371333439667e-01,7.740268887626484684e-01,7.752199212475280321e-01,7.774829400743146213e-01,7.816232891138255034e-01
9.191538461538461888e+02,7.740452639743864438e-01,7.750298714805456957e-01,7.759805024085958403e-01,7.777932866885159946e-01,7.811266699023777793e-01,7.869756371852993926e-01
9.345384615384615472e+02,7.753291317061968835e-01,7.768649411479199296e-01,7.783139306720252559e-01,7.810047630547727326e-01,7.857455663152069780e-01,7.936653975929340854e-01
9.499230769230769056e+02,7.766383925148773182e-01,7.790089820462332559e-01,7.811701149981227221e-01,7.850507741065412270e-01,7.915161789873409459e-01,8.017524445383252818e-01
9.653076923076922640e+02,7.779738226442566296e-01,7.815785769687606521e-01,7.847135994481387877e-01,7.901306566177725976e-01,7.985246349087221640e-01,8.111871534238686010e-01
9.806923076923077360e+02,7.793362308680397144e-01,7.847081927902029852e-01,7.891078072472921257e-01,7.963792673355988283e-01,8.066668019852993865e-01,8.220447807412988306e-01
9.960769230769230944e+02,7.807264602382147922e-01,7.885307310048654816e-01,7.944453783724801932e-01,8.035387378752565368e-01,8.155026025609211082e-01,8.349452136026199733e-01
1.011461538461538453e+03,7.821453899489494432e-01,7.931482954620321379e-01,8.008345178540964282e-01,8.122054621285356157e-01,8.270916414179008136e-01,8.500718739368575694e-01
1.026846153846153811e+03,7.835939373250739859e-01,7.985981526114180884e-01,8.078262848620464398e-01,8.202543575003419241e-01,8.386441614446829007e-01,8.659494027576454256e-01
1.042230769230769283e+03,7.850730599450885805e-01,8.048183021017413230e-01,8.156664424696831173e-01,8.306228609954083852e-01,8.519296873548893867e-01,8.829333749730008396e-01
1.057615384615384528e+03,7.865837579095555920e-01,8.116214750478366602e-01,8.242681108890087538e-01,8.418016767599608707e-01,8.662998835861717151e-01,8.988483342229830475e-01
1.073000000000000000e+03,7.881270762667621499e-01,8.188359693577531573e-01,8.334791439623772114e-01,8.533772371477499341e-01,8.811646205025888134e-01,9.116313872139650831e-01
1.088384615384615472e+03,7.897041076086712685e-01,8.272905754247215082e-01,8.438540523578699215e-01,8.662042527035520578e-01,8.955203591339380154e-01,9.222176950132620066e-01
1.103769230769230717e+03,7.913159948514409958e-01,8.367385072292080617e-01,8.573814899512066656e-01,8.772402474106772985e-01,9.009620595551479649e-01,9.288628326010752723e-01
1.119153846153846189e+03,7.929639342161879378e-01,8.467293697705806643e-01,8.667144129277219999e-01,8.925588571042314401e-01,9.182398631172503656e-01,9.393155203314031976e-01
